epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4156,1.23503,4.35714,1.35096,0.03607,0.54887,0.08557,0.06427,0.92597,3.7423,1.15696,0.000136603,0.000136603,0.000136603
2,37.3793,1.19423,3.74817,1.2784,0.41053,0.2288,0.17762,0.13159,1.01002,3.1112,1.20287,0.000273784,0.000273784,0.000273784
3,53.2493,1.1772,3.43742,1.2835,0.38042,0.2858,0.19479,0.14664,1.10685,2.83386,1.24221,0.000409131,0.000409131,0.000409131
4,69.514,1.11636,3.23395,1.25259,0.4444,0.28576,0.30436,0.22249,1.04323,2.70954,1.21271,0.000408743,0.000408743,0.000408743
5,85.1196,1.13746,3.05428,1.25341,0.33447,0.41263,0.35834,0.26511,1.01223,2.74841,1.19647,0.000405991,0.000405991,0.000405991
6,100.415,1.12549,2.74112,1.23057,0.55587,0.24712,0.34795,0.25916,1.01791,2.45503,1.17097,0.000403239,0.000403239,0.000403239
7,115.621,1.09141,2.71181,1.20401,0.42387,0.39225,0.35828,0.26647,1.01435,2.21178,1.16078,0.000400487,0.000400487,0.000400487
8,130.821,1.02863,2.41836,1.16438,0.59305,0.43874,0.48727,0.35199,1.05169,2.14324,1.21572,0.000397735,0.000397735,0.000397735
9,146.03,1.07958,2.37777,1.21835,0.55171,0.52459,0.51871,0.38518,1.00767,1.93892,1.19165,0.000394982,0.000394982,0.000394982
10,161.522,1.08271,2.17711,1.18845,0.55442,0.53133,0.53783,0.40015,1.01821,1.90005,1.18196,0.00039223,0.00039223,0.00039223
11,176.589,1.03842,2.12393,1.17093,0.57305,0.46971,0.53599,0.37264,1.11452,1.83527,1.2357,0.000389478,0.000389478,0.000389478
12,191.78,1.03269,2.05585,1.18573,0.40039,0.64056,0.59911,0.43859,1.03873,1.75147,1.18462,0.000386726,0.000386726,0.000386726
13,207.011,1.0138,1.9594,1.16771,0.55928,0.62237,0.59044,0.43845,1.0256,1.66004,1.1922,0.000383974,0.000383974,0.000383974
14,222.75,1.00661,1.86334,1.15593,0.70688,0.45733,0.61365,0.4639,0.99497,1.70036,1.16319,0.000381221,0.000381221,0.000381221
15,238.475,0.98839,1.87087,1.14488,0.48199,0.62027,0.63451,0.48109,0.99794,1.43307,1.1631,0.000378469,0.000378469,0.000378469
16,253.926,1.00583,1.74549,1.15475,0.64671,0.67384,0.67023,0.49683,1.02842,1.46653,1.15548,0.000375717,0.000375717,0.000375717
17,269.414,0.97809,1.63618,1.13469,0.76658,0.63317,0.70506,0.51783,1.04732,1.47886,1.17183,0.000372965,0.000372965,0.000372965
18,284.695,0.9581,1.55008,1.13915,0.59477,0.65967,0.71418,0.53283,1.03923,1.43471,1.19782,0.000370213,0.000370213,0.000370213
19,299.838,0.94546,1.60793,1.13708,0.61022,0.73307,0.72835,0.54276,1.02079,1.46465,1.18909,0.00036746,0.00036746,0.00036746
20,315.099,0.94741,1.4348,1.10148,0.72948,0.6783,0.75588,0.57288,0.97018,1.31467,1.13099,0.000364708,0.000364708,0.000364708
21,330.683,0.94879,1.47724,1.12455,0.81862,0.62262,0.75118,0.56604,0.96847,1.26786,1.12992,0.000361956,0.000361956,0.000361956
22,345.59,0.93499,1.41367,1.10939,0.72442,0.71531,0.78682,0.58842,0.97542,1.3195,1.1259,0.000359204,0.000359204,0.000359204
23,360.777,0.93914,1.39516,1.10579,0.72058,0.69664,0.74023,0.55499,0.97102,1.36781,1.13017,0.000356452,0.000356452,0.000356452
24,375.822,0.94736,1.36604,1.10224,0.80734,0.71163,0.79375,0.60313,0.98634,1.21921,1.16585,0.000353699,0.000353699,0.000353699
25,391.065,0.91465,1.31719,1.11626,0.79815,0.69579,0.78083,0.59944,1.00029,1.21815,1.16978,0.000350947,0.000350947,0.000350947
26,407.457,0.94103,1.30499,1.10992,0.72323,0.73593,0.80168,0.5958,1.008,1.17509,1.16676,0.000348195,0.000348195,0.000348195
27,423.338,0.90434,1.29857,1.08994,0.59653,0.75488,0.76743,0.57239,0.97993,1.25494,1.13073,0.000345443,0.000345443,0.000345443
28,438.625,0.90606,1.26296,1.08619,0.81372,0.75725,0.80382,0.60756,0.96442,1.20314,1.13425,0.000342691,0.000342691,0.000342691
29,453.784,0.91216,1.2722,1.10586,0.70426,0.74115,0.81109,0.60242,1.01636,1.2143,1.16868,0.000339938,0.000339938,0.000339938
30,469.07,0.91031,1.28299,1.09444,0.69687,0.78347,0.78429,0.5919,0.98542,1.26449,1.14902,0.000337186,0.000337186,0.000337186
31,484.121,0.89869,1.22353,1.0802,0.85097,0.765,0.82636,0.63682,0.9462,1.05718,1.14471,0.000334434,0.000334434,0.000334434
32,499.342,0.87991,1.19707,1.08833,0.81562,0.79119,0.83687,0.62053,1.01816,1.08826,1.20604,0.000331682,0.000331682,0.000331682
33,514.021,0.88026,1.13122,1.09018,0.76342,0.78014,0.81401,0.60085,0.98923,1.09802,1.16083,0.00032893,0.00032893,0.00032893
34,529.178,0.85392,1.12305,1.07258,0.77432,0.76912,0.81007,0.60658,1.00998,1.09807,1.17181,0.000326177,0.000326177,0.000326177
35,544.351,0.83244,1.06943,1.05395,0.75749,0.76154,0.80226,0.5997,1.03086,1.14161,1.15985,0.000323425,0.000323425,0.000323425
36,559.513,0.84416,1.07412,1.06219,0.7173,0.76849,0.80249,0.5838,1.01812,1.10619,1.1712,0.000320673,0.000320673,0.000320673
37,575.002,0.87217,1.05236,1.06693,0.78993,0.72697,0.81064,0.61277,0.96196,1.12702,1.15286,0.000317921,0.000317921,0.000317921
38,589.951,0.84636,1.02328,1.06242,0.84966,0.74594,0.82872,0.61519,1.02573,1.02859,1.19885,0.000315169,0.000315169,0.000315169
39,605.617,0.84143,1.02855,1.04945,0.8503,0.75635,0.83275,0.64114,0.95927,1.0235,1.16227,0.000312416,0.000312416,0.000312416
40,620.461,0.84034,0.96901,1.06366,0.84604,0.69596,0.82373,0.61406,1.01902,1.06018,1.19269,0.000309664,0.000309664,0.000309664
41,636.207,0.82192,1.02558,1.06471,0.86213,0.77417,0.8401,0.62112,1.01495,1.04115,1.1687,0.000306912,0.000306912,0.000306912
42,651.62,0.84025,1.00252,1.06793,0.81983,0.77866,0.82874,0.62725,0.97662,1.02259,1.16781,0.00030416,0.00030416,0.00030416
43,666.614,0.85953,0.95158,1.0564,0.81394,0.80637,0.87667,0.65041,0.98558,0.95553,1.14127,0.000301408,0.000301408,0.000301408
44,681.916,0.79467,0.98734,1.04762,0.84983,0.81404,0.87067,0.64234,0.98501,0.96142,1.15895,0.000298655,0.000298655,0.000298655
45,697.083,0.84446,0.94618,1.05307,0.83309,0.84291,0.87801,0.65524,0.9922,0.90531,1.17992,0.000295903,0.000295903,0.000295903
46,712.245,0.8226,0.95364,1.07186,0.76053,0.87023,0.8637,0.66421,0.96529,0.94629,1.17886,0.000293151,0.000293151,0.000293151
47,727.445,0.81073,0.94671,1.06465,0.8323,0.79684,0.85546,0.6364,1.0139,0.94598,1.2057,0.000290399,0.000290399,0.000290399
48,742.608,0.7837,0.93636,1.03642,0.85082,0.81161,0.87595,0.65388,0.98307,0.93794,1.15765,0.000287647,0.000287647,0.000287647
49,758.411,0.80119,0.93792,1.03365,0.75547,0.81366,0.88226,0.67298,0.98487,0.96308,1.1804,0.000284894,0.000284894,0.000284894
50,774.018,0.80229,0.90701,1.0359,0.84488,0.78389,0.86271,0.66168,0.98846,0.95115,1.16814,0.000282142,0.000282142,0.000282142
51,789.308,0.82874,0.89785,1.04724,0.73336,0.84082,0.85461,0.6471,0.98397,0.94127,1.17886,0.00027939,0.00027939,0.00027939
52,804.733,0.77225,0.86621,1.02814,0.7602,0.86023,0.86179,0.66128,0.96192,0.94295,1.15212,0.000276638,0.000276638,0.000276638
53,819.836,0.76434,0.84045,1.03504,0.84593,0.77496,0.86415,0.64602,1.02435,0.93804,1.19561,0.000273886,0.000273886,0.000273886
54,834.964,0.76395,0.83592,1.02722,0.85882,0.74481,0.84431,0.63936,1.01238,0.97886,1.18403,0.000271133,0.000271133,0.000271133
55,850,0.74267,0.79722,1.00799,0.8075,0.79632,0.85327,0.64282,0.99386,0.95108,1.18952,0.000268381,0.000268381,0.000268381
56,865.159,0.74301,0.81713,1.01893,0.85422,0.8031,0.86754,0.64976,0.98692,0.90923,1.17496,0.000265629,0.000265629,0.000265629
57,880.069,0.73823,0.85907,1.03416,0.85772,0.81024,0.8893,0.65832,1.03713,0.90482,1.21483,0.000262877,0.000262877,0.000262877
