epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5864,1.43384,4.45095,1.5034,0.28789,0.28561,0.2144,0.14662,1.16041,2.46943,1.28907,0.000122934,0.000122934,0.000122934
2,109.585,1.35092,2.623,1.43086,0.34349,0.41057,0.38167,0.27418,1.00649,2.07756,1.08639,0.000244317,0.000244317,0.000244317
3,160.179,1.36509,2.18771,1.41574,0.54561,0.44129,0.48329,0.3262,1.01262,1.96936,1.14744,0.000363746,0.000363746,0.000363746
4,209.923,1.32455,1.94107,1.39311,0.53646,0.62944,0.59107,0.42024,1.04629,1.62243,1.17637,0.000361209,0.000361209,0.000361209
5,259.843,1.34043,1.79192,1.42773,0.5727,0.53263,0.57539,0.40126,1.05649,1.62077,1.19495,0.000358278,0.000358278,0.000358278
6,310.101,1.30506,1.6085,1.37882,0.54315,0.62839,0.64274,0.46217,1.00533,1.56804,1.16317,0.000355348,0.000355348,0.000355348
7,359.864,1.3265,1.56676,1.38927,0.6153,0.59207,0.63504,0.4591,0.97611,1.39093,1.15706,0.000352418,0.000352418,0.000352418
8,409.77,1.27631,1.41664,1.38228,0.61583,0.69474,0.6837,0.49458,0.98012,1.25156,1.16217,0.000349487,0.000349487,0.000349487
9,460.218,1.26668,1.41584,1.35679,0.63065,0.72826,0.72943,0.53447,0.95722,1.141,1.13974,0.000346557,0.000346557,0.000346557
10,509.764,1.25714,1.3062,1.3617,0.76797,0.69239,0.79039,0.57916,0.95189,1.06365,1.14868,0.000343626,0.000343626,0.000343626
11,559.414,1.22511,1.27765,1.32957,0.69236,0.64153,0.71184,0.52684,0.94702,1.18209,1.11103,0.000340696,0.000340696,0.000340696
12,609.541,1.21069,1.21949,1.3231,0.80365,0.66666,0.76642,0.57942,0.92878,1.14289,1.10539,0.000337766,0.000337766,0.000337766
13,659.386,1.21251,1.15039,1.32996,0.78893,0.65196,0.79497,0.57894,0.93689,1.03454,1.162,0.000334835,0.000334835,0.000334835
14,709.178,1.20112,1.13303,1.33767,0.73579,0.73378,0.80107,0.60261,0.90405,1.09488,1.08742,0.000331905,0.000331905,0.000331905
15,758.917,1.16193,1.09874,1.31197,0.77668,0.70146,0.79782,0.58501,0.956,0.99852,1.12709,0.000328974,0.000328974,0.000328974
16,808.716,1.14017,1.04459,1.29217,0.71188,0.73051,0.77954,0.57411,0.93647,1.16752,1.14328,0.000326044,0.000326044,0.000326044
17,858.802,1.13806,1.06039,1.28817,0.79442,0.73361,0.80586,0.59702,0.92377,0.88357,1.10351,0.000323114,0.000323114,0.000323114
18,909.111,1.1626,1.02323,1.2988,0.78136,0.71875,0.80071,0.58727,0.93768,1.05811,1.10996,0.000320183,0.000320183,0.000320183
19,958.836,1.12842,0.98961,1.2704,0.77748,0.73468,0.7948,0.59964,0.88442,0.97007,1.08514,0.000317253,0.000317253,0.000317253
20,1008.58,1.127,0.98351,1.28334,0.8015,0.77518,0.82665,0.6139,0.94281,0.81067,1.11906,0.000314322,0.000314322,0.000314322
21,1058.8,1.13967,0.95428,1.27796,0.84679,0.75405,0.82011,0.61894,0.91206,0.86753,1.11977,0.000311392,0.000311392,0.000311392
22,1108.8,1.09075,0.91203,1.26126,0.80809,0.78572,0.83545,0.62429,0.92608,0.88327,1.11102,0.000308462,0.000308462,0.000308462
23,1158.81,1.09933,0.9383,1.25583,0.81211,0.75289,0.84585,0.6366,0.91272,0.89826,1.10635,0.000305531,0.000305531,0.000305531
24,1208.35,1.07182,0.90969,1.25311,0.8138,0.75965,0.83098,0.63031,0.91312,0.81236,1.09325,0.000302601,0.000302601,0.000302601
25,1258.02,1.07138,0.87056,1.24956,0.79827,0.78518,0.84793,0.63788,0.91057,0.82064,1.07921,0.00029967,0.00029967,0.00029967
26,1307.99,1.05638,0.8226,1.24046,0.82391,0.74796,0.82768,0.62443,0.89554,0.88472,1.08231,0.00029674,0.00029674,0.00029674
27,1357.93,1.06752,0.86997,1.24565,0.83679,0.7405,0.84249,0.63987,0.88742,0.87406,1.10008,0.00029381,0.00029381,0.00029381
28,1407.57,1.06891,0.82545,1.24939,0.8314,0.74724,0.83843,0.63115,0.89447,0.80029,1.09393,0.000290879,0.000290879,0.000290879
